Date,Symbol,Exchange,Outstanding Shares,Market Cap,Gap%,Avg Prev 3 Day Volume,PM Trades,PM Volume,PM Dollar Volume,Daily  Trades,Daily Volume,Daily Dollar Volume,PM Whale Ratio,Daily Whale Ratio,PM Supply Rotations,Daily Supply Rotations,PM Mkt Cap Rotations,Daily Mkt Cap Rotations,High to Close %,Low to Close %,Open to Close %,Overnight%,Long Optimal,Positive Open to Close,Positive Overnight,Minutes Open to HOD,Minutes Open to LOD,Macro Regime
2020-08-20,GEVO,NASDAQ,53798824,29427956.73,77.53,2620467.0,22076,24041341,21158532.92,1372948,991108773,1491431356.22,1089.03,721.88,0.45,18.42,0.72,50.68,-16.51,108.0,87.42,-19.23,1,1,0,209,-191,2.0
2020-08-27,PED,NYSE,72125328,56632807.55,91.03,869936.67,9432,3719007,5070743.11,368859,102663937,197218163.16,394.3,278.33,0.05,1.42,0.09,3.48,-15.6,45.52,40.67,-38.39,1,1,0,153,-139,2.0
2020-08-31,AIMT,NASDAQ,65450142,824671789.2,171.51,1342385.0,10579,11488880,392082937.12,136165,44667326,1526819691.62,1086.01,328.04,0.18,0.68,0.48,1.85,-0.18,0.2,0.03,-0.06,1,1,0,-63,-328,2.0
2020-09-01,JILL,NYSE,44802370,86132556.33,120.13,469462.33,13270,8890220,7817686.26,138984,98250878,81753042.22,669.95,706.92,0.2,2.19,0.09,0.95,-52.21,3.39,-36.2,-80.74,0,0,0,9,-90,2.0
2020-09-02,LONE,NASDAQ,25375314,6777746.37,83.26,1336526.0,6099,4896118,2434183.88,53559,43259296,18118841.33,802.77,807.69,0.19,1.7,0.36,2.67,-30.0,7.68,-24.11,-12.68,0,0,0,-321,271,2.0
2020-09-08,LUB,NYSE,30625470,32156743.5,81.9,52224.0,14541,6993758,12199243.23,481927,166735264,338654544.58,480.97,345.98,0.23,5.44,0.38,10.53,-4.72,34.55,16.23,-12.61,1,1,0,216,-90,2.0
2020-09-14,SAVA,NASDAQ,24919333,82732185.56,115.36,1405280.33,75522,20022042,148410935.16,717046,175097198,1207759472.43,265.12,244.19,0.8,7.03,1.79,14.6,-7.85,38.39,8.39,-7.23,1,1,0,-34,-142,2.0
2020-09-22,NAOV,NASDAQ,10568088,62330583.02,84.81,188586.67,30298,16957015,18646244.02,405165,220012389,273016005.39,559.67,543.02,1.6,20.82,0.3,4.38,-18.92,12.15,10.09,-91.58,0,1,0,267,-90,2.0
2020-09-23,SPI,NASDAQ,14621125,15315628.44,237.95,102455.0,77253,23639796,75862842.11,1708149,348301832,3216355041.24,306.0,203.91,1.62,23.82,4.95,210.0,-70.0,324.24,295.48,93.57,1,1,1,275,-92,2.0
2020-09-24,SUNW,NASDAQ,16628992,19289630.72,296.55,38355511.0,64311,23624557,118967185.45,963678,267806139,1482171208.28,367.35,277.9,1.42,16.1,6.17,76.84,-53.76,19.09,-14.57,-23.92,0,0,0,26,-330,2.0
2020-09-24,SPI,NASDAQ,14621125,204695750.0,93.57,116174337.33,20969,4577580,111238809.71,219540,29555020,542940051.28,218.3,134.62,0.31,2.02,0.54,2.65,-54.37,4.8,-51.66,-26.56,0,0,0,-25,348,2.0
2020-09-24,POLA,NASDAQ,11375681,21841307.52,116.67,8823637.33,25715,8890922,36132423.14,287796,72516670,335247371.29,345.75,251.97,0.78,6.37,1.65,15.35,-43.75,14.95,-11.3,-24.12,0,0,0,12,-317,2.0
2020-09-24,OEG,NASDAQ,30420685,15666652.78,82.52,57643.33,11887,5530361,6922277.66,66235,32548503,30432318.41,465.24,491.41,0.18,1.07,0.44,1.94,-44.9,9.13,-27.9,3.29,0,0,1,-57,-90,2.0
2020-09-25,TATT,NASDAQ,8874696,35676277.92,80.35,973523.67,5860,1665706,10694947.42,79859,15883572,96064136.93,284.25,198.9,0.19,1.79,0.3,2.69,-21.46,16.4,-19.72,-10.31,0,0,0,-319,286,2.0
2020-09-25,SGBX,NASDAQ,8596189,13066207.28,96.05,314888.33,28313,9902565,33462375.59,187628,54212324,150280647.97,349.75,288.94,1.15,6.31,2.56,11.5,-34.24,5.85,-27.18,-3.23,0,0,0,-141,-150,2.0
2020-09-25,CBAT,NASDAQ,65149690,87952081.5,159.26,34351116.67,97069,32557692,111795620.95,594742,198508979,533714494.12,335.41,333.77,0.5,3.05,1.27,6.07,-34.67,26.29,-30.0,13.88,0,0,1,-105,62,2.0
2020-09-29,HUSA,NYSE,6960576,7599556.88,179.36,387218.33,33594,9665800,30361307.52,530995,146037345,593633048.29,287.72,275.03,1.39,20.98,4.0,78.11,-53.14,8.36,-2.3,-22.82,0,0,0,49,-150,2.0
2020-09-30,CTIC,NASDAQ,73716760,77402598.0,120.0,2965486.33,18326,7873662,19749866.48,319511,107202789,240146275.72,429.64,335.52,0.11,1.45,0.26,3.1,-19.77,13.16,-6.93,-8.37,0,0,0,-319,298,2.0
2020-09-30,CTEK,NYSE,10597024,11762696.64,76.58,41778.33,14514,4258468,9992195.98,178132,53146799,103845933.82,293.4,298.36,0.4,5.02,0.85,8.83,-37.2,17.16,-19.9,-17.2,0,0,0,-18,-30,2.0
2020-09-30,ITRM,NASDAQ,21239093,204787334.71,155.13,70698.0,66070,35151019,52182214.9,485491,213865470,333878796.88,532.03,440.51,1.66,10.07,0.25,1.63,-56.97,2.94,-35.98,-94.12,0,0,0,15,-150,2.0
2020-10-01,SLDB,NASDAQ,46178519,1406135903.55,156.65,81878.33,78978,23804655,108598967.41,855369,193963132,915252054.26,301.41,226.76,0.52,4.2,0.08,0.65,-43.28,0.87,-33.59,-93.55,0,0,0,10,-120,2.0
2020-10-01,ENLV,NASDAQ,13463771,79974799.74,76.94,285938.33,34162,8830416,97144629.9,229030,43624252,432301352.8,258.49,190.47,0.66,3.24,1.21,5.41,-25.7,11.13,-16.37,-0.57,0,0,0,-158,-156,2.0
2020-10-02,XTNT,NYSE,13240831,10861453.67,174.29,815134.33,51803,20417108,38383618.61,375360,112349679,211115461.56,394.13,299.31,1.54,8.49,3.53,19.44,-37.2,17.16,-30.22,-12.74,0,0,0,0,-299,2.0
2020-10-02,LONE,NASDAQ,25375314,6204264.27,120.9,15839172.67,27077,25353250,14710980.14,116635,106153920,48435622.76,936.34,910.14,1.0,4.18,2.37,7.81,-47.19,1.1,-41.97,-1.08,0,0,0,-140,389,2.0
2020-10-05,GRNQ,NASDAQ,59203333,645316329.7,126.61,633120.0,47051,14402997,34193358.38,433288,133050697,294646021.23,306.11,307.07,0.24,2.25,0.05,0.46,-32.12,6.29,-24.7,-91.24,0,0,0,-27,-308,2.0
2020-10-06,PPSI,NASDAQ,8726045,13699890.65,111.46,512820.0,61525,19523476,59366869.64,1250147,321675853,1814793353.48,317.33,257.31,2.24,36.86,4.33,132.47,-49.1,65.52,44.58,15.63,1,1,1,89,-328,2.0
2020-10-07,AREC,NASDAQ,31838495,51896746.85,89.57,50620.33,16195,5983865,17105224.73,638745,160000163,566556031.9,369.49,250.49,0.19,5.03,0.33,10.92,-47.26,5.26,-15.86,-5.77,0,0,0,25,-88,2.0
2020-10-07,RAVE,NASDAQ,15465222,7949124.11,285.41,830973.67,25605,8631574,20273936.36,173058,66880595,95276890.43,337.11,386.46,0.56,4.32,2.55,11.99,-50.42,27.17,-40.94,-11.92,0,0,0,-302,-321,2.0
2020-10-07,PECK,NASDAQ,16628992,120726481.92,79.61,1481192.67,12620,3170857,39723236.54,162827,24844118,306252263.96,251.26,152.58,0.19,1.49,0.33,2.54,-27.18,2.74,-19.48,-11.9,0,0,0,-26,-319,2.0
2020-10-08,AGE,NYSE,37689000,31813284.9,165.37,921756.0,51598,22849715,42781784.17,1105154,331850754,928642613.02,442.84,300.28,0.61,8.8,1.34,29.19,-36.9,23.38,10.71,-14.52,0,1,0,46,-269,2.0
2020-10-09,SNMP,NYSE,19953880,7382935.6,237.84,1674012.67,47720,31050105,36630250.91,226522,121877158,137371694.21,650.67,538.04,1.56,6.11,4.96,18.61,-54.69,0.0,-42.0,-0.69,0,0,0,9,-225,2.0
2020-10-09,SDPI,NYSE,25434776,10486758.14,77.06,494724.67,2202,1356974,991648.49,23122,15228015,10784827.09,616.25,658.59,0.05,0.6,0.09,1.03,-34.78,12.78,-17.81,-8.87,0,0,0,-105,-150,2.0
2020-10-13,PED,NYSE,72463340,97100875.6,86.57,617900.0,23755,8166000,25203519.54,136817,38878202,87852351.62,343.76,284.16,0.11,0.54,0.26,0.9,-29.41,9.76,-28.0,-7.78,0,0,0,-43,-87,2.0
2020-10-16,SGBX,NASDAQ,8596189,17364301.78,79.7,331104.67,59004,18996111,74425962.6,230754,61429536,206796337.98,321.95,266.21,2.21,7.15,4.29,11.91,-28.72,4.6,-24.79,1.47,0,0,1,-93,-150,2.0
2020-10-16,HTZ,NYSE,156206478,160892672.34,133.01,6096217.0,162436,109632515,229742021.19,1486602,1032229500,2364868952.65,674.93,694.35,0.7,6.61,1.43,14.7,-12.59,49.7,4.17,4.8,1,1,1,2,-189,2.0
2020-10-20,ACOR,NASDAQ,47979115,198633536.1,76.81,3665401.33,25697,14766439,19299567.05,194705,110372638,129957066.25,574.64,566.87,0.31,2.3,0.1,0.65,-41.34,4.0,-21.15,-84.87,0,0,0,-213,111,2.0
2020-10-20,CBLI,NASDAQ,13336440,28940074.8,107.37,669655.33,56522,16764046,65920456.0,619907,147802457,613656498.19,296.59,238.43,1.26,11.08,2.28,21.2,-41.62,2.92,-29.56,-6.31,0,0,0,39,-308,2.0
2020-10-21,MRIN,NASDAQ,7115000,10743650.0,78.81,286505.67,17289,4830756,18835078.6,593048,169098826,702935022.84,279.41,285.14,0.68,23.77,1.75,65.43,-34.04,100.0,39.26,-28.72,1,1,0,-194,-258,2.0
2020-10-22,EVK,NASDAQ,14809160,17030534.0,122.61,300790.0,16077,4953959,14505989.9,644165,149218375,652446112.35,308.14,231.65,0.33,10.08,0.85,38.31,-61.54,1.96,1.56,28.85,0,1,1,101,-88,2.0
2020-10-23,SCKT,NASDAQ,6050655,8833956.3,159.59,2304920.67,87914,27077673,94680008.02,716213,170926890,609966097.41,308.0,238.65,4.48,28.25,10.72,69.05,-43.33,5.81,-32.72,-7.45,0,0,0,24,-330,2.0
2020-10-26,LLIT,NASDAQ,45415693,147473838.31,76.61,2552225.67,25072,7029782,41325041.95,168936,38540096,186480536.41,280.38,228.13,0.15,0.85,0.28,1.26,-22.96,12.97,-21.01,-5.3,0,0,0,-145,217,2.0
2020-10-27,GOED,NYSE,6111200,42228392.0,134.73,95656.0,12192,2195942,35025077.16,105480,13644238,184234665.28,180.11,129.35,0.36,2.23,0.83,4.36,-53.41,0.0,-49.01,-8.46,0,0,0,-283,381,2.0
2020-10-28,MGEN,NASDAQ,57074478,445095316.68,122.16,1047764.33,51665,37351231,44456560.15,405561,266976149,301314596.53,722.95,658.29,0.65,4.68,0.1,0.68,-8.03,53.66,9.09,-94.66,1,1,0,-123,-267,2.0
2020-11-05,KXIN,NASDAQ,59150341,163846444.57,81.95,1228483.0,48178,14816107,71536203.51,195869,45590646,201002761.02,307.53,232.76,0.25,0.77,0.44,1.23,-25.35,6.8,-25.2,3.18,0,0,1,-26,-274,2.0
2020-11-09,SNDL,NASDAQ,251627435,629068587.5,135.6,314380506.0,92684,147956600,89104215.65,648593,756826356,362489468.6,1596.36,1166.87,0.59,3.01,0.14,0.58,-23.58,26.94,-22.16,-91.06,1,0,0,-256,253,2.0
2020-11-09,AMC,NYSE,85624174,213204193.26,71.49,8238276.33,33546,15743337,66778820.72,342599,132512707,517892651.09,469.31,386.79,0.18,1.55,0.31,2.43,-14.12,16.72,-11.71,5.84,1,0,1,-68,-330,2.0
2020-11-12,IMAC,NASDAQ,11839972,9862696.68,94.48,310012.0,20347,7617769,12853467.39,314632,95750928,181327285.87,374.39,304.33,0.64,8.09,1.3,18.39,-40.16,7.8,-6.17,-15.79,0,0,0,-247,-317,2.0
2020-11-13,UROV,NASDAQ,31659870,262143723.6,93.0,226679.33,984,1400466,22388686.36,22023,10330909,165563095.3,1423.24,469.1,0.04,0.33,0.09,0.63,-0.37,0.25,0.25,-0.12,0,1,0,-54,-325,2.0
2020-11-17,LXRX,NASDAQ,117474808,151542502.32,74.42,521918.0,41888,22844876,46975118.39,236403,102548731,202548449.29,545.38,433.79,0.19,0.87,0.31,1.34,-23.95,5.85,-19.56,-0.13,0,0,0,0,-330,2.0
2020-11-24,FTEK,NASDAQ,24701159,69657268.38,115.25,16169789.33,53043,16278158,92249766.27,542154,142991054,818330661.38,306.89,263.75,0.66,5.79,1.32,11.75,-14.2,39.49,-0.49,-20.86,1,0,0,2,-304,2.0
2020-11-25,MTC,NASDAQ,20070000,240840000.0,106.67,690155.67,41911,17198473,35842488.17,416382,142220712,327615898.04,410.36,341.56,0.86,7.09,0.15,1.36,-27.44,0.5,-18.95,-90.3,0,0,0,13,-305,2.0
2020-11-27,WORX,NASDAQ,9861731,12327163.75,94.4,1987825.33,43967,17581190,42430575.52,254338,84468360,200102037.24,399.87,332.11,1.78,8.57,3.44,16.23,-15.59,7.77,-8.64,-5.41,0,0,0,-85,-330,2.0
2020-11-30,CAAS,NASDAQ,30851776,118162302.08,95.82,429841.0,19509,5177949,36383319.97,468156,93876644,727884019.16,265.41,200.52,0.17,3.04,0.31,6.16,0.0,83.57,40.0,19.14,1,1,1,389,-150,2.0
2020-12-02,NAOV,NASDAQ,13393653,94947606.12,152.5,3115106.33,75248,36511811,54277559.44,424356,177655720,276523421.03,485.22,418.65,2.73,13.26,0.57,2.91,-52.99,8.91,-38.55,-90.55,0,0,0,11,-328,2.0
2020-12-03,EVK,NASDAQ,14809160,31099236.0,174.76,1726187.67,63419,13699732,79370417.51,524430,108010531,718540321.14,216.02,205.96,0.93,7.29,2.55,23.1,-36.75,10.53,-9.01,-12.76,0,0,0,127,-330,2.0
2020-12-04,HGSH,NASDAQ,22525000,39644000.0,128.98,918700.33,35437,11560024,49344833.12,570456,122530926,536077891.93,326.21,214.79,0.51,5.44,1.24,13.52,-52.22,3.2,-35.98,-11.62,0,0,0,41,387,2.0
2020-12-08,CRIS,NASDAQ,58817444,84697119.36,279.86,6472079.33,122362,47455114,207627575.83,1116511,326058998,2011128152.43,387.83,292.03,0.81,5.54,2.45,23.74,-17.09,25.96,19.74,14.96,1,1,1,25,-198,2.0
2020-12-09,RCON,NASDAQ,7202832,10372078.08,97.92,1725611.0,30186,10533691,32159857.63,101608,30623751,74629993.78,348.96,301.39,1.46,4.25,3.1,7.2,-39.1,16.56,-38.25,-11.93,0,0,0,-122,302,2.0
2020-12-09,XBIO,NASDAQ,6296227,6799925.16,258.33,256538.67,42233,15104422,58067141.24,651765,183664225,851465177.32,357.65,281.8,2.4,29.17,8.54,125.22,-45.81,4.28,-18.09,-22.71,0,0,0,78,-85,2.0
2020-12-09,CNET,NASDAQ,21741926,158716059.8,95.89,628411.0,26083,9008020,27418030.81,178918,53349442,132420578.39,345.36,298.18,0.41,2.45,0.17,0.83,-36.16,17.34,-29.02,-85.32,0,0,0,-149,-180,2.0
2020-12-11,VTVT,NASDAQ,50786130,111221624.7,87.21,2297096.67,44658,14786421,71068599.02,334913,108464838,432296340.25,331.1,323.86,0.29,2.14,0.64,3.89,-34.74,2.31,-24.39,6.13,0,0,1,-240,349,2.0
2020-12-15,PRVL,NASDAQ,34246433,428080412.5,84.08,265577.33,2050,1581428,36566797.85,49631,10776807,246542518.52,771.43,217.14,0.05,0.31,0.09,0.58,-1.43,0.62,-1.13,0.04,0,0,1,-193,-195,2.0
2020-12-16,AEMD,NASDAQ,12088313,19583067.06,79.63,97977.33,56745,18089506,55404588.51,292727,92877327,246577349.93,318.79,317.28,1.5,7.68,2.83,12.59,-26.38,5.61,-22.34,-7.19,0,0,0,-4,-88,2.0
2020-12-17,OCG,NASDAQ,15190000,92659000.0,182.62,1352153.5,9887,1824062,34328303.21,177605,29098195,329406512.03,184.49,163.84,0.12,1.92,0.37,3.56,-71.64,16.72,-57.48,-3.68,0,0,0,32,346,2.0
2020-12-23,OCGN,NASDAQ,162026473,130463716.06,153.35,249011150.0,128967,123328251,233707421.77,1343973,918194302,2217598947.8,956.28,683.19,0.76,5.67,1.79,17.0,-14.75,41.3,27.45,-13.85,1,1,0,81,-278,2.0
2020-12-24,AVGR,NASDAQ,84922079,587830630.84,76.25,21777427.0,28695,31631451,21423831.84,198066,229584912,139497302.08,1102.33,1159.13,0.37,2.7,0.04,0.24,-37.68,4.9,-21.33,-94.95,0,0,0,-143,253,2.0
2020-12-29,TENX,NASDAQ,12619369,270054496.6,100.0,127706.0,57597,27747158,60037943.89,544486,231530759,540939315.14,481.75,425.23,2.2,18.35,0.22,2.0,-30.28,3.66,-7.48,-95.4,0,0,0,104,-205,2.0
